H,B,S,V,R,E,F,CCI
0.6940609566825577,1.0,0.2786941420282256,0.5600379399778885,0.5536232949847835,0.617283266734691,0.36377848983132566,0.5529556997642814
0.6323377053782493,0.7892174344964945,0.31097606463129657,0.810727249739699,0.703602566306701,0.6493722041104881,0.39422037964294243,0.5411562135201641
0.7547612056995047,0.6306370712920442,0.30974303589599544,0.8370558781348576,0.6368742604804509,0.6338142903005706,0.37114456913277505,0.5538769008399138
0.33918061323066045,0.9738541818139417,0.25282171541133636,0.6177726004103492,1.0,0.6367258221732575,0.3812896394704096,0.5513321901996954
0.8766620758517463,0.7084423617343849,0.3260720963445407,0.6004608680271454,0.7723207669861382,0.6567916337887911,0.3994063021495355,0.5706852280623206
0.4739417205644128,0.37796338384263933,0.24312524786554213,0.9705994471534198,0.8712315597174186,0.5873722718286865,0.34200151515169674,0.5556005114248398
0.8571525275067751,0.661131375387675,0.2963329938783569,0.881430530365279,0.508498455496318,0.6409091765268807,0.3851905150510504,0.5549655486491795
1.0,0.7512046963890417,0.2536709492479624,0.7446700202664169,0.33091076119960894,0.616091285420606,0.3606260657026339,0.549751072829118
0.8478171965818859,0.5772214156578379,0.2603828648991802,0.9881940059724991,0.43366524128876627,0.6214561448800339,0.37207139068666667,0.5381962297126645
0.4920694127358773,1.0,0.25736126966289957,0.3844260170277529,1.0,0.626771339885306,0.37081228106299013,0.5738501338478855
0.46221506111264243,0.576865111822877,0.27222941459911804,0.83253213996868,0.9918949247479663,0.6271473304502567,0.3748568028429172,0.5507675614980498
1.0,0.34199281941871457,0.25637149105205037,0.7203781124531289,0.5436725659351632,0.5724829977718113,0.32247935589058385,0.5939983725395614
0.5740899947595735,0.9762638424451007,0.2800009975372613,0.6332321575750723,0.6208304704791001,0.6168834925592215,0.36346605405122195,0.5443167559064251
0.6614126210474548,0.47270643007705226,0.28870367813925146,0.8047388109471568,0.9417835190345127,0.6338690118490856,0.37740170507016246,0.557997222813184
0.6406342032323309,0.8055499018604668,0.3152037342719127,0.7687017433652981,0.6264101867780582,0.6312999539016133,0.36480778226899463,0.5621431788850748
0.6350722338121825,0.5857651743441759,0.2970605018635644,0.8095971545663965,0.7496220517824511,0.6154234232737541,0.35181516796821566,0.5459858167296482
0.8609951887113008,0.9432014027299928,0.2599676209900648,0.2793822793532259,0.929897046540113,0.6546887076649395,0.38620006348126407,0.5652042199945073
0.8944337464451063,0.5746791345316152,0.28473345501577496,0.6339840865763904,0.8167513024353521,0.6409163450008478,0.392948922832538,0.5229734871515644
0.7793433529123719,0.7201940963688596,0.3122917832438634,0.9588400810590219,0.566473424043156,0.6674285475254546,0.4219554471334484,0.5573938738897893
0.6640270187080811,0.7199361307020532,0.2964580694430325,0.8018208445878748,0.5567653221002504,0.6078014771082584,0.34225520735741466,0.5505867760955953
0.8080221703984228,0.8314151988584649,0.2941998564694893,0.703760289445359,0.5167011732425808,0.6308197376828634,0.37270702632488495,0.5450425349924012
0.46131631044575255,1.0,0.2728378338428987,0.9717359234135003,0.5468274112158188,0.650543495783594,0.40135228680374546,0.5552191951062175
0.22921822054039853,1.0,0.24105914927538424,0.9578183096278673,0.9085644018463168,0.6673320162579934,0.3913846944602799,0.5522860714435543
0.9825661772075002,0.1620961925972949,0.2167664681000323,0.9585502527268673,1.0,0.6639958181263389,0.37423109902048707,0.5486522605643497
0.8623601596930975,1.0,0.2654185147350228,0.5789515414173326,0.4496303906656488,0.6312721213022204,0.381989424649689,0.5405689343240266
0.7744533169845914,0.8810570210313652,0.3058752667647783,0.7985125547540951,0.48493981054523716,0.6489675940160134,0.39155605245365965,0.5658364982474331
0.6952085745472831,0.5275699998640703,0.29252748202965734,0.6707417263693985,0.817819236132023,0.6007734037884864,0.3357735947256839,0.5544560297807362
0.7434602507155506,0.7734230031624091,0.3027236045057182,0.6785644663227645,0.5898058246040293,0.6175954298620943,0.35157664159385615,0.5482374521575842
0.16537194851613293,1.0,0.23625821658568205,0.989303345455682,1.0,0.6781867021114995,0.37626278264324625,0.5890427166110611
0.4704387402996697,0.9667748731402417,0.23072477122103374,0.630789528423284,0.43324601714784206,0.5463947860464142,0.32176582334973514,0.5318445351818285
0.8711155868515139,0.5757029030983359,0.28150941055609185,0.5117588854259416,1.0,0.6480173571863767,0.39997985717232215,0.5483349019940873
0.9142335991821643,0.9151509677367471,0.295057737631374,0.4410129809180332,0.8410401874282725,0.6812990945793183,0.44046644498085064,0.5502682203677131
0.919670793607126,0.9454362592449274,0.24132812662543995,1.0,0.23301309359902894,0.6678896546153046,0.393148960657206,0.549977179820091
0.36139786624743875,0.8239710970786924,0.26500925504839107,0.6486768092658954,0.9425500418350414,0.6083210138950919,0.35051322880806474,0.5640784012673976
0.882402477341899,0.6574666057345403,0.31964409600066546,0.6983629141224738,0.7671625229100585,0.6650077232219275,0.41655784401506035,0.5493007378876615
0.6923587347507096,0.7111571871999862,0.3143036751162109,0.6402392811400249,0.867237157515235,0.6450592071444333,0.3861895141315816,0.5532466532690425
0.48267908785416114,0.9523001759148775,0.288264628684053,0.6930434944543037,0.7074007698552417,0.6247376313525274,0.3667898840025847,0.5593291673073734
0.9788029864050884,0.6792206045281359,0.2914093437532318,0.7130178685190934,0.523241044003605,0.6371383694418309,0.3834098064481118,0.553291350220123
0.5052530770209588,0.8860204749608197,0.278095373231738,0.5379175144371201,0.9827405540622844,0.6380053987425842,0.3865142662699766,0.5541104292860284
0.8194078607388917,0.44285952462538036,0.2872057317818459,0.6910383700940532,0.8605944490783218,0.6202211872636987,0.35915428413519945,0.561247393257983
0.5598630363162366,0.9366481964025419,0.2913132055650253,0.7550113375601353,0.5794044156954408,0.6244480383078759,0.3665180582854335,0.5568487533138036
0.98293697918255,0.7402635890163445,0.27869094158834656,0.4852975311035351,0.5223234280382127,0.6019024937857977,0.3439204980263857,0.5785501801204316
0.5667402373580479,0.9929794676389379,0.2570208513366201,0.8222964136842684,0.3879931309213355,0.605406020187842,0.35350217087119207,0.5553859593285684
0.777440254564184,0.8322390509975671,0.3001397218642377,0.7200639880724047,0.5146949800047877,0.6289155991006362,0.36722806515499734,0.5552583617588136
0.9619853341238105,0.1882263438512792,0.2200945509202856,0.9168018307993216,0.863652091053741,0.6301520301496877,0.3591968814510005,0.5451143136993767
0.6780176838363261,0.2741353573625429,0.23605727738862722,0.7942228384057788,0.96471789664544,0.589430210727743,0.3396475776318716,0.5503041832593566
0.5202981142325334,0.6339515116804951,0.2830230607468407,0.8770486716503859,0.6444380044029122,0.5917518725426335,0.3313364855519424,0.5554525230190679
0.6585561924557309,0.7259327440281469,0.317935922535089,0.7228285712233437,0.7770701089200243,0.6404647078324669,0.37694154796270485,0.5513683445303853
0.8064934471621015,0.47941653199689327,0.27653761000482985,0.6299617463738,0.682065910345559,0.5748950491766367,0.31636447081909946,0.5516406078264698
0.7375919418532824,1.0,0.27496776685321866,0.3748854643401626,0.8548579266181843,0.6484606199329697,0.3921493042985671,0.5592247117154349
0.5511794750608018,0.9103906170931004,0.299859839577738,0.7030220523794504,0.7674543858449566,0.6463812739912095,0.3935415090564339,0.5455173844370469
